,,,,,,,,,,,,,,,,,,
,滿月記帳表-股票版,,,,2025年,,,,,,,,,,,,年度總計,
,,,,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,,
,1,"持股庫存
(依記帳日之現況更新)",元大台灣50-0050,股票,"  6,130 ","  6,487 ","  7,487 ","  8,739 ","  8,913 ","  36,308 ","  37,131 ","  39,164 ","  39,921 ","  39,969 ","  41,047 ","  41,526 ","  1,136,999 ",23.9%
,,,元大高股息-0056,股票,"  27,623 ","  29,980 ","  30,528 ","  32,528 ","  33,125 ","  33,704 ","  35,274 ","  35,842 ","  36,396 ","  36,450 ","  36,860 ","  37,269 ",,
,,,元大台灣高低息波-00713,股票,"  12,387 ","  12,753 ","  14,118 ","  15,716 ","  16,101 ","  16,487 ","  16,878 ","  17,267 ","  17,555 ","  17,847 ","  18,296 ","  18,590 ",,
,,,富邦越南-00885,股票,"  42,851 ","  43,716 ","  43,716 ","  43,716 ","  43,716 ","  43,716 ",  -   , - , - , - , - , - ,,
,,,國泰永續高股息-00878,股票,"  39,095 ","  42,970 ","  44,857 ","  45,353 ","  46,293 ","  47,251 ","  49,198 ","  51,143 ","  51,617 ","  52,088 ","  52,560 ","  53,031 ",,
,,,兆豐金-2886,股票,"  12,929 ","  14,197 ","  14,197 ","  15,892 ","  16,548 ","  17,174 ","  17,770 ","  18,350 ","  19,666 ","  20,024 ","  20,395 ","  20,764 ",,
,,,波克夏-B,股票,  40 ,  43 ,  43 ,  45 ,  46 ,  48 ,  49 ,  50 ,  54 ,  54 ,  56 ,  57 ,,
,,,VTI,股票,,,,,,,,,  1 ,  3 ,  4 ,  6 ,,
,,,VXUS,股票,,,,,,,,,  3 ,  6 ,  10 ,  13 ,,
,,,ABCD,股票,,,,,,,,,,,,,,
,,,持股現值總計,,"  4,763,147 ","  5,062,377 ","  5,183,791 ","  559,228 ","  5,751,546 ","  5,854,994 ","  5,793,735 ","  6,013,844 ","  6,506,275 ","  6,770,346 ","  6,732,019 ","  6,967,646 ",,
,2,"未實現損益
(依記帳日之現況更新)","國泰券商
（台股）",總現值,"4,744,277 ","5,040,850 ","5,160,820 ","535,309 ","5,728,718 ","5,831,710 ","5,769,957 ","5,988,479 ","6,478,810 ","6,742,002 ","6,701,160 ","6,936,054 ","  6,936,054 ",13.32%
,,,,總付出成本(含息),"4,661,787 ","4,981,775 ","5,117,305 ","5,699,326 ","5,814,128 ","5,928,940 ","5,514,647 ","5,725,437 ","5,864,660 ","5,909,512 ","6,037,140 ","6,121,993 ","  6,121,993 ",
,,,,損益試算,"82,490 ","59,075 ","43,515 ","-5,164,017 ","-85,410 ","-97,230 ","255,310 ","263,042 ","614,150 ","832,490 ","664,020 ","814,061 ","  814,061 ",
,,,,獲利率%,1.8%,1.2%,0.9%,-90.6%,-1.5%,-1.6%,4.6%,4.6%,10.5%,14.1%,11.0%,13.3%,13.3%,
,,,,"標的備註
(寫個大概就好)",,,,,,,,,,,,,,
,,,"國泰美股券商
（美股）",總現值,"18,870 ","21,527 ","22,971 ","23,919 ","22,828 ","23,284 ","23,778 ","25,365 ","27,465 ","28,344 ","30,859 ","31,592 ","  31,592 ",
,,,,總付出成本(含息),"15,407 ","16,907 ","16,907 ","17,657 ","18,407 ","19,157 ","19,807 ","20,807 ","22,557 ","24,008 ","25,458 ","26,908 ","  26,908 ",
,,,,損益試算,"3,464 ","4,620 ","6,064 ","6,262 ","4,421 ","4,127 ","3,971 ","4,558 ","4,908 ","4,336 ","5,401 ","4,684 ","  4,684 ",
,,,,獲利率%,22.5%,27.3%,35.9%,35.5%,24.0%,21.5%,20.0%,21.9%,21.8%,18.1%,21.2%,17.4%,17.4%,
,,,,"標的備註
(寫個大概就好)", BRK/B , BRK/B , BRK/B , BRK/B , BRK/B , BRK/B , BRK/B , BRK/B ,,,,,,
,,,未實現損益總計,,"85,954 ","63,695 ","49,579 ","-5,157,755 ","-80,989 ","-93,103 ","259,281 ","267,600 ","619,058 ","836,826 ","669,421 ","818,745 ","  818,745 ",
,3,"已實現損益
(每月底更新最終金額)
(金額已含交易成本)","國泰券商
（台股）",總賣出金額,"1,198,376 ",0 ,0 ,0 ,0 ,0 ,"604,857 ",0 ,0 ,0 ,,,"  1,803,233 ",21.43%
,,,,總買進金額,"889,652 ",0 ,0 ,0 ,0 ,0 ,"595,327 ",0 ,0 ,0 ,,,"  1,484,979 ",
,,,,損益試算,"308,724 ",0 ,0 ,0 ,0 ,0 ,"9,530 ",0 ,0 ,0 ,0 ,0 ,"  318,254 ",
,,,,報酬率%,34.70%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.60%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,21.43%,
,,,,"標的備註
(寫個大概就好)","0050
除息前賣", 本月無賣出 , 本月無賣出 , 本月無賣出 , 本月無賣出 , 本月無賣出 , 富邦越南出清 ,,,,,,,
,,,"國泰美股券商
（美股）",總賣出金額,,,,,,,,,,,,,  -   ,
,,,,總買進金額,,,,,,,,,,,,,  -   ,
,,,,損益試算,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,  -   ,
,,,,報酬率%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,
,,,,"標的備註
(寫個大概就好)",,,,,,,,,,,,,,
,,,已實現損益總計,,"308,724 ",0 ,0 ,0 ,0 ,0 ,"9,530 ",0 ,0 ,0 ,0 ,0 ,"318,254 ",
,,,已實現報酬率,,34.70%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.60%,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,21.43%,
,4,"交易成本
(依對帳單負值金額填入)","A券商
X折",手續費(減項),778 ,42 ,89 ,108 ,5 ,5 ,385 ,31 ,6 ,5 ,26 ,5 ,"1,485 ",
,,,,電子折讓(加項),,,,,,,,,,,,,0 ,
,,,,證交稅(減項),"1,198 ",,,,,,603 ,,,,,,"1,801 ",
,,,"B券商
X折",手續費(減項),0 ,0 ,0 ,0 ,,,,,,,,,0 ,
,,,,電子折讓(加項),,,,,,,,,,,,,0 ,
,,,,證交稅(減項),,,,,,,,,,,,,0 ,
,,,交易成本總計,,"1,976 ",42 ,89 ,108 ,5 ,5 ,988 ,31 ,6 ,5 ,26 ,5 ,"3,286 ",
,5,"股息
(依通知書填入)","現金
股利",元大高股息,"29,547 ",,,,"34,795 ",,,"30,537 ",,,"31,555 ",,"126,434 ",
,,,,元大台灣50,,"19,241 ",,,,,,"13,357 ",,,,,"32,598 ",
,,,,國泰永續高股息,,,"21,475 ",,,"21,748 ",,,"20,047 ",,,"21,014 ","84,284 ",
,,,,元大台灣高息低波,"13,654 ",,,"19,755 ",,,"18,126 ",,,"13,682 ",,,"65,217 ",
,,,,兆豐金,,,,,,,,,"29,350 ",,,,"29,350 ",
,,,"股票
股利",兆豐金,,,,,,,,,,,,,0 ,
,,,,,,,,,,,,,,,,,0 ,
,,,,,,,,,,,,,,,,,0 ,
,,,股息總計,,"43,201 ","19,241 ","21,475 ","19,755 ","34,795 ","21,748 ","18,126 ","43,894 ","49,397 ","13,682 ","31,555 ","21,014 ","337,883 ",